Rank,Name,Name Link,Symbol,Industry,2022 Revenue (USD millions),Revenue Growth,Employees,Headquarters City,Headquarters Link,Headquarters Geo Loc
81,Nationwide Mutual Insurance Company,https://en.wikipedia.org/wiki/Nationwide_Mutual_Insurance_Company,,Financial,"47,376", 13.0%,"24,134","Columbus, Ohio","https://en.wikipedia.org/wiki/Columbus,_Ohio","39.962222, -83.000556"
82,Tyson Foods,https://en.wikipedia.org/wiki/Tyson_Foods,TSN,Food Industry,"47,049", 8.9%,"137,000","Springdale, Arkansas","https://en.wikipedia.org/wiki/Springdale,_Arkansas","36.190278, -94.1575"
83,Bristol-Myers Squibb,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb,BMY,Pharmaceuticals,"46,385", 9.1%,"32,200","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
84,GSK plc,https://en.wikipedia.org/wiki/GSK_plc,GSK,Pharmaceuticals,"44,700", 3.0%,"97,000","Philadelphia, Pennsylvania","https://en.wikipedia.org/wiki/Philadelphia,_Pennsylvania","39.952778, -75.163611"
85,Nike,https://en.wikipedia.org/wiki/Nike_Inc,NKE,Apparel,"44,538", 19.1%,"73,300","Beaverton, Oregon","https://en.wikipedia.org/wiki/Beaverton,_Oregon","45.486944, -122.803611"
86,John Deere & Company,https://en.wikipedia.org/wiki/John_Deere,DE,Agriculture Machinery,"44,024", 23.9%,"75,550","Moline, Illinois","https://en.wikipedia.org/wiki/Moline,_Illinois","41.485833, -90.499722	"
87,American Express,https://en.wikipedia.org/wiki/American_Express,AXP,Financial,"43,663", 14.3%,"64,000","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
88,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABT,Medical / Laboratory Devices,"43,075", 24.5%,"113,000","Chicago, Illinois","https://en.wikipedia.org/wiki/Chicago,_Illinois","41.881944, -87.627778"
89,StoneX Group,https://en.wikipedia.org/wiki/StoneX_Group,SNEX,Financial,"42,534", -21.4%,"3,242","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
90,Plains All American Pipeline,https://en.wikipedia.org/wiki/Plains_All_American_Pipeline,PAA,Petroluem Industry,"42,078", 80.7%,"4,100","Houston, Texas","https://en.wikipedia.org/wiki/Houston,_Texas","29.762778, -95.383056"
91,Enterprise Products,https://en.wikipedia.org/wiki/Enterprise_Products,EPD,Petroluem Industry,"40,807", 50.0%,"6,911","Houston, Texas","https://en.wikipedia.org/wiki/Houston,_Texas","29.762778, -95.383056"
92,TIAA,https://en.wikipedia.org/wiki/Teachers_Insurance_and_Annuity_Association_of_America,,General Insurance,"40,526", -2.6%,"15,065","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
93,Oracle Corporation,https://en.wikipedia.org/wiki/Oracle_Corporation,ORCL,Technology,"40,479", 3.6%,"132,000","Austin, Texas","https://en.wikipedia.org/wiki/Austin,_Texas","30.267222, -97.743056"
94,Thermo Fisher Scientific,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific,TMO,Medical / Laboratory Devices,"39,211", 21.7%,"129,000","Waltham, Massachusetts","https://en.wikipedia.org/wiki/Waltham,_Massachusetts","42.376389, -71.236111"
95,Coca-Cola Company,https://en.wikipedia.org/wiki/Coca-Cola_Company,KO,Beverages,"38,655", 17.1%,"79,000","Atlanta, Georgia",https://en.wikipedia.org/wiki/Atlanta,"33.748889, -84.39"
96,General Dynamics,https://en.wikipedia.org/wiki/General_Dynamics,GD,Aerospace and Defense,"38,469", 8.7%,"103,100","Reston, Virginia","https://en.wikipedia.org/wiki/Reston,_Virginia","38.954444, -77.346389"
97,Chico's FAS,https://en.wikipedia.org/wiki/CHS_Inc,CHS,Agriculture Cooperative,"38,448", 1.4%,"9,941","Inver Grove Heights, Minnesota",https://en.wikipedia.org/wiki/Inver_Grove_Heights,"44.848056, -93.042778"
98,USAA,https://en.wikipedia.org/wiki/USAA,,Financial,"37,470", 3.2%,"37,335","San Antonio, Texas",https://en.wikipedia.org/wiki/San_Antonio,"29.42412, -98.49363"
99,Northwestern Mutual,https://en.wikipedia.org/wiki/Northwestern_Mutual,,General Insurance,"36,751", 8.8%,"7,585","Milwaukee, Wisconsin",https://en.wikipedia.org/wiki/Milwaukee,"43.05, -87.95"
100,Nucor,https://en.wikipedia.org/wiki/Nucor,NUE,Metals,"36,484", 81.2%,"28,800","Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","35.227222, -80.843056"
